Graduation Date,Program Name/Major,Academic Division/School,Degree Level,Outcome Type,Employing Organization,Position Location - Country,Position Location - State,Name of Institution,Degree to be earned,Program/Field of Study,Job Title
2021,Economics - Public Policy,Opus College of Business,Bachelor's Degree,Employed Full-Time,Comunidad de Madrid,,Do not live in the United States,,,,Cultural Language Assistant
2021,Financial Management,School of Engineering,Bachelor's Degree,Employed Full-Time,Concept Financial Goup,,Minnesota,,,,President
2021,Political Science,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Congressional Leadership Fund,,Virginia,,,,Digital Fundraising Manager
2021,History,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Covenant Building and Remodeling,,Minnesota,,,,Laborer
2021,Financial Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,CRAVE American Kitchen & Sushi Bar,,Minnesota,,,,"Hostess, Waiters Assistant"
2021,Digital Media Arts,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Creed Interactive,,Minnesota,,,,Associate Designer
2021,Political Science,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Cricket Health,,Minnesota,,,,Information Security Risk and Compliance Analyst
2021,K-12 World Lang. & Cultures,School of Engineering,Bachelor's Degree,Employed Full-Time,Cristo Rey Jusuit High School,,Minnesota,,,,Spanish teacher
2021,Actuarial Science,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Currie & Brown,,Do not live in the United States,,,,Cost and Data Analyst
2021,Accounting,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Chowbus,,Illinois,,,,Accounting Assistant
2021,Financial Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,Cushman & Wakefield,,Illinois,,,,Associate Broker
2021,Neuroscience,School of Engineering,Bachelor's Degree,Employed Full-Time,CVS,,Minnesota,,,,Pharmacy technician
2021,Neuroscience,Opus College of Business,Bachelor's Degree,Employed Part-Time,Cvs,,Minnesota,,,,Pharmacy technician
2021,Human Resources Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,Dahl Consulting,,Minnesota,,,,Associate Recruiter
2021,Mechanical Engineering,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Daikin Applied,,Minnesota,,,,Product Engineer
2021,Gen Business Mgmt,Opus College of Business,Bachelor's Degree,Employed Full-Time,Dedicated Logistics Services,,Minnesota,,,,Carrier Sales Representative
2021,Biochemistry,Opus College of Business,Bachelor's Degree,Employed Full-Time,Deep Rock,,Colorado,,,,Automotive Mechanic
2021,Mechanical Engineering,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Delkor,,Minnesota,,,,Mechanical Engineer
2021,Accounting,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Deloitte,,Minnesota,,,,Audit Associate
2021,Accounting,Opus College of Business,Bachelor's Degree,Employed Full-Time,Deloitte,,Minnesota,,,,Accounting Associate
2021,Actuarial Science,Opus College of Business,Bachelor's Degree,Employed Full-Time,Deloitte,,Minnesota,,,,Actuarial analyst t
2021,Accounting,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Deloitte,,Minnesota,,,,Tax Consultant
2021,French,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Deloitte,,Minnesota,,,,Analyst
2021,Entrepreneurship,School of Engineering,Bachelor's Degree,Employed Full-Time,Deloitte,,Minnesota,,,,Tax Consultant
2021,Accounting,School of Engineering,Bachelor's Degree,Employed Part-Time,Deloitte,,Minnesota,,,,Tax Intern
2021,Economics,School of Engineering,Bachelor's Degree,Employed Full-Time,Delta Air Lines,,Georgia,,,,Customer Service Representative
2021,Human Resources Management,School of Engineering,Bachelor's Degree,Employed Full-Time,Deluxe,,Minnesota,,,,Human Resources Service Center Representative
2021,Entrepreneurship,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Department of Corrections-Wisconsin,,Wisconsin,,,,HR Assistant
2021,Biology (BS),College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Department of Veteran's Affairs,,Minnesota,,,,Medical Analyst
2021,Exercise Science,Opus College of Business,Bachelor's Degree,Employed Full-Time,Destined Consulting Solutions,,Minnesota,,,,MIT Program
2021,Economics - Business,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Digital Strategies Inc,,Minnesota,,,,Data Analyst
2021,Biology (BS),Opus College of Business,Bachelor's Degree,Employed Full-Time,Dog Haus,,California,,,,Bartender and Server
2021,Entrepreneurship,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,DoorDash,,California,,,,Delivery Driver
2021,Actuarial Science,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,DoorDash Driver App,,California,,,,Delivery Driver
2021,Gen Business Mgmt,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,DraftKings,,Minnesota,,,,Customer Experience Associate
2021,Marketing Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,DRG,,Minnesota,,,,Urban Realtor
2021,Computer Science (BS),College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,DRPM,,Minnesota,,,,Neural Network Engineer
2021,History,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Dunn Brothers Coffee,,Minnesota,,,,Barista
2021,Human Resources Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Eagle Creek,,Minnesota,,,,Human Resources Assistant
2021,Computer Science (BS),Opus College of Business,Bachelor's Degree,Employed Full-Time,Eagle Creek Technology,,North Dakota,,,,Analyst
2021,Music - Business,Opus College of Business,Bachelor's Degree,Employed Full-Time,Eclipse Music Group,,Tennessee,,,,Management Coordinator
2021,Marketing Management,School of Education,Bachelor's Degree,Employed Full-Time,Ecolab,,Minnesota,,,,Chemist
2021,Marketing Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Ecolab,,Minnesota,,,,Marketing Associate
2021,Marketing Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Ecolab,,Minnesota,,,,Procurement Specialist
2021,Economics - Business,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Ecolab,,Minnesota,,,,Financial Analyst
