Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
MS Operations & Supply Chain Mgmt,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's degree,2024,Supply Chain Analyst,Operations & Supply Chain,Daikin Applied,Manufacturing & Industrial,Minnesota
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,Actuarial Analyst,Finance & Accounting,Deloitte,Professional Services & Consulting,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Audit Assistance,Finance & Accounting,Deloitte,Professional Services & Consulting,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Tax Consultant ,Finance & Accounting,Deloitte,Professional Services & Consulting,Minnesota
Political Science,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,Democratic Farmer Labor Party,Government & Public Service,Minnesota
Social Work,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Graduate level degree,2024,Social Worker,Healthcare & Clinical,Dept. of Veteran Affairs,Government & Public Service,North Dakota
Software Engineering,ENGINEERING & TECHNOLOGY,Computer Science & IT,School of Engineering,Graduate level degree,2024,Principal Firmware Engineer,Engineering,Det-tronics,Manufacturing & Industrial,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Social Media Marketing Specalist,Marketing & Communications,Direct Clicks Inc.,Professional Services & Consulting,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Special Education Teacher ,Education & Teaching,District 196,Education & Academia,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Operations Development Associate,Operations & Supply Chain,Donaldson Company,Manufacturing & Industrial,Minnesota
Social Work Advanced Standing,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Graduate level degree,2024,Social Worker,Healthcare & Clinical,Eau Claire County Department of Human Services,Government & Public Service,Wisconsin
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Associate Financial Analyst II,Finance & Accounting,Ecolab,Manufacturing & Industrial,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Financial Analyst,Finance & Accounting,Ecolab,Manufacturing & Industrial,Minnesota
Data Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,School of Engineering,Graduate level degree,2024,,Other,,Other,North Carolina
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Financial Analyst II,Finance & Accounting,Ecolab,Manufacturing & Industrial,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Associate Financial Analyst,Finance & Accounting,Ecolab,Manufacturing & Industrial,Minnesota
Data Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,School of Engineering,Graduate level degree,2024,RD&E Data Scientist,Research & Science,Ecolab,Manufacturing & Industrial,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,Sales Manager,Sales & Business Development,EcoShield,Professional Services & Consulting,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,Scribe,Healthcare & Clinical,Emergency Care Consultants,Healthcare & Medical,Minnesota
Executive MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Strategic Price Manager,Consulting & Advisory,Emerson,Manufacturing & Industrial,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Product Management Engineer,Engineering,Emerson,Manufacturing & Industrial,Minnesota
