Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Senior Product Engineer,Engineering,Microsoft,Technology & Software,Texas
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's degree,2024,Full Stack Developer,Software & IT,Midwest Veterinary Supply,Healthcare & Medical,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,Millboard ,Other,
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,School of Education,Bachelor's degree,2024,5th Grade Teacher,Education & Teaching,Minneapolis Public Schools,Education & Academia,Minnesota
Social Work Advanced Standing,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Graduate level degree,2024,Clinical Program Therapist,Healthcare & Clinical,Minnesota Department of Human Services,Government & Public Service,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Sales and Service Associate ,Sales & Business Development,Minnesota Lynx,Retail & Consumer Products,Minnesota
Strategic Comm: Ad and PR,COMMUNICATION & MEDIA,Communication Studies,College of Arts & Sciences,Bachelor's degree,2024,Business Development Account Executive ,Sales & Business Development,Minnesota Timberwolves ,Other,Minnesota
Human Resources Management,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's degree,2024,HR Intern,Human Resources,Minnesota Twins,Retail & Consumer Products,Minnesota
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's degree,2024,Ticket Sales & Services Associate,Sales & Business Development,Minnesota Vikings,Retail & Consumer Products,Wisconsin
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,US Commercial Partnerships Representative,Consulting & Advisory,MM PRTNRS.,Professional Services & Consulting,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Special Events and Events Intern ,Sales & Business Development,MN Twins,Retail & Consumer Products,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,Service Associate,Finance & Accounting,Morgan Stanley,Financial Services & Insurance,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Teacher,Education & Teaching,MPS,Education & Academia,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's degree,2024,Information Technology Intern,Software & IT,National Grid,Energy & Utilities,Minnesota
Environmental Science,NATURAL & HEALTH SCIENCES,Environmental Sciences,College of Arts & Sciences,Bachelor's degree,2024,Lead Field Technician,Engineering,NEON by Battelle,Government & Public Service,california
Counseling Psychology,EDUCATION & SOCIAL SERVICES,Social Work,School of Prof Psychology,Graduate level degree,2024,Therapiest ,Healthcare & Clinical,New Beginnigs Emotional wellness And Holistic Therapies ,Other,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,"Associate, Operations",Operations & Supply Chain,NorthRock Partners,Financial Services & Insurance,Minnesota
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,Actuarial Specialist,Finance & Accounting,Northwestern Mutual,Financial Services & Insurance,Wisconsin
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Associate Financial Representative ,Finance & Accounting,Northwestern Mutual ,Other,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,Medical Scribe,Healthcare & Clinical,Nura PA Pain Clinic,Healthcare & Medical,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Marketing Product Manager,Marketing & Communications,nVent,Manufacturing & Industrial,Minnesota
Counseling Psychology,EDUCATION & SOCIAL SERVICES,Social Work,School of Prof Psychology,Graduate level degree,2024,Outpatient Therapist ,Healthcare & Clinical,Nystrom & Associates ,Other,Minnesota
Social Work Advanced Standing,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Graduate level degree,2024,Therapist,Healthcare & Clinical,Nystrom & Associates ,Other,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's degree,2024,Associate Software Engineer,Software & IT,Optum,Technology & Software,Minnesota
Data Analytics,BUSINESS & MANAGEMENT,Operations & Analytics,College of Arts & Sciences,Bachelor's degree,2024,Data Analyst,Software & IT,Optum,Technology & Software,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Analyst ,Consulting & Advisory,Ovative Group,Professional Services & Consulting,Minnesota
Social Work Advanced Standing,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Graduate level degree,2024,Hospital Care Manager,Healthcare & Clinical,Park Nicollet,Healthcare & Medical,Minnesota
MS Operations & Supply Chain Mgmt,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's degree,2024,Supply Chain Leadership Development Associate ,Operations & Supply Chain,Parker Hannifin,Manufacturing & Industrial,Wisconsin
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's degree,2024,Customer Care Manager,Healthcare & Clinical,Paul Jonley,Other,Wisconsin
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's degree,2024,Software Development Intern,Software & IT,Pearson VUE,Education & Academia,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Manufacturing Engineer,Engineering,Peli Biothermal,Healthcare & Medical,Minnesota
International Business,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's degree,2024,Sales Management Associate,Sales & Business Development,PepsiCo,Manufacturing & Industrial,Minnesota
Exercise Science,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Bachelor's degree,2024,Client Delivery Specialist,Software & IT,Personify Health,Technology & Software,Minnesota
MS Operations & Supply Chain Mgmt,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's degree,2024,Associate Consultant,Consulting & Advisory,Pioneer Management Consulting,Professional Services & Consulting,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Institutional Investment Specialist,Finance & Accounting,PMA ,Other,Minnesota
