Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year
Music,Teacher,St Croix Catholic School,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Middle/Secondary Education,Teacher,St Michael-Albertville Middle School East,School of Education,Bachelor's degree,Minnesota,2023
Gen Business Mgmt,Teacher,St Odilia School,Opus College of Business,Bachelor's degree,Minnesota,2023
Financial Management,Valet Attendant,Standard Parking,Opus College of Business,Bachelor's degree,Minnesota,2023
Philosophy,Corrections Officer,State of Minnesota,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Civil Engineering,Bridge Engineer,State of Minnesota,School of Engineering,Bachelor's degree,Minnesota,2023
Real Estate Studies,Investment Analyst,Stillwater Asset Management,Opus College of Business,Bachelor's degree,Minnesota,2023
Actuarial Science,Investment Analyst,Stillwater Asset Management,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Biology,Manufacturing Associate,Stratix Labs Corporation,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Exercise Science,Caregiver,Suite Living,College of Health,Bachelor's degree,Minnesota,2023
Financial Management,Analyst,SullivanCotter,Opus College of Business,Bachelor's degree,Minnesota,2023
Biology,Orthopedic Medical Assistant,Summit Orthopedics,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Communication Studies,Operations Support Manager,Sunset Transportation,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Gen Business Mgmt,Teller,Superior Choice Credit Union,Opus College of Business,Bachelor's degree,Wisconsin,2023
Marketing Management,Account Manager,Superior Steel Supply,Opus College of Business,Bachelor's degree,Minnesota,2023
Entrepreneurship,Port Captain,Surly Brewing Co.,Opus College of Business,Bachelor's degree,Minnesota,2023
Computer Science,Host/Hostess,Sushi Fix,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Marketing Management,,W.W. Grainger,Opus College of Business,Bachelor's degree,Illinois,2023
Accounting,Associate,Talbots,Opus College of Business,Bachelor's degree,Minnesota,2023
Liberal Arts,,Target,Dougherty Family College,Bachelor's degree,Minnesota,2023
Liberal Arts,Intern,Target,Dougherty Family College,Bachelor's degree,Minnesota,2023
Legal Studies,Project Manager,Target,Opus College of Business,Bachelor's degree,Minnesota,2023
MS Operations & Supply Chain Mgmt,Inventory Analyst,Target,Opus College of Business,Bachelor's degree,Minnesota,2023
Gen Business Mgmt,Technical Consultant,Target,Opus College of Business,Bachelor's degree,Minnesota,2023
Marketing Management,Merchandise Specialist,Target,Opus College of Business,Bachelor's degree,Minnesota,2023
Leadership & Management,Supply Chain Manager,Target,Opus College of Business,Bachelor's degree,Minnesota,2023
Financial Management,Financial Analyst,Target,Opus College of Business,Bachelor's degree,Minnesota,2023
Marketing Management,Business Partner,Target,Opus College of Business,Bachelor's degree,Minnesota,2023
Economics,Inventory Analyst,Target,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Human Resources Management,Style Consultant,Target,Opus College of Business,Bachelor's degree,Minnesota,2023
Data Analytics,Software Engineer,Target,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Financial Management,Financial Analyst,Target,Opus College of Business,Bachelor's degree,Minnesota,2023
International Business,Executive Team Leader,Target,Opus College of Business,Bachelor's degree,Minnesota,2023
Gen Business Mgmt,Account Executive,Taylor Corporation,Opus College of Business,Bachelor's degree,Minnesota,2023
English - Creative Writing,Paralegal,Taylor Corporation,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Entrepreneurship,Business Development Associate,Techstars,Opus College of Business,Bachelor's degree,Minnesota,2023
Mechanical Engineering,Mechanical Design Engineer,Tennant,School of Engineering,Bachelor's degree,Minnesota,2023
Environmental Science,Environmental Scientist,Tetra Tech,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Marketing Management,Digital Marketer,TG-3 Media,Opus College of Business,Bachelor's degree,Minnesota,2023
Psychology,Behavioral Therapist,The Bridge Autism Clinic,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Music - Business,Sound Designer,The Mindset Advantage Podcast,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Biology,Resident Assistant,The Pillars of Highland Park,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Mechanical Engineering,Application Engineer,Third Wave Systems,School of Engineering,Bachelor's degree,Minnesota,2023
Mechanical Engineering,Application Engineer,Third Wave Systems,School of Engineering,Bachelor's degree,Minnesota,2023
Economics - Business,Market Researcher,Thomas & Reed,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Financial Management,Mutual Fund Accountant,Thrivent,Opus College of Business,Bachelor's degree,Minnesota,2023
Actuarial Science,Actuarial Analyst,Thrivent,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Marketing Management,Wait Staff,Tiffany Sports Lounge,Opus College of Business,Bachelor's degree,Minnesota,2023
Exercise Science,,,College of Health,Bachelor's degree,Illinois,2023
History,Retail Sales Associate,TJX,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Journalism,Assignment Editor,Tommiemedia,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Entrepreneurship,Client Development Manager,Top Gun Technology,Opus College of Business,Bachelor's degree,Minnesota,2023
Financial Management,Analyst,Toro,Opus College of Business,Bachelor's degree,Minnesota,2023
Bus Admin - Communication,Public Relations Specialist,Toro,Opus College of Business,Bachelor's degree,Minnesota,2023
Real Estate Studies,Merchandiser,Total Wine & More,Opus College of Business,Bachelor's degree,Minnesota,2023
Entrepreneurship,Founder,Touchlink,Opus College of Business,Bachelor's degree,Minnesota,2023
Marketing Management,Club Server,Town & Country Club,Opus College of Business,Bachelor's degree,Minnesota,2023
Political Science,Server,Town & Country Club,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Entrepreneurship,Venture Capital Analyst,Traction Capital,Opus College of Business,Bachelor's degree,Minnesota,2023
Economics - Mathematical,Associate Data Analyst,CDW,College of Arts & Sciences,Bachelor's degree,Illinois,2024
Data Analytics,Data Scientist,Trane Technologies,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Computer Engineering,IT Project Manager,Transition Homes,School of Engineering,Bachelor's degree,Minnesota,2023
Financial Management,Brokerage Associate,Transwestern,Opus College of Business,Bachelor's degree,Minnesota,2023
Gen Business Mgmt,Account Operations Specialist,Travelers,Opus College of Business,Bachelor's degree,Minnesota,2023
Actuarial Science,Actuarial Consultant,Travelers,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Law & Compliance,Compliance Consultant,Travelers,Opus College of Business,Bachelor's degree,Minnesota,2023
Gen Business Mgmt,Consultative Sales Associate,Triple Diamond Sports,Opus College of Business,Bachelor's degree,Minnesota,2023
Biology,Legal Administrative Assistant,Trojack & Schniederjan Law Office,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Criminal Justice,Paralegal,Tsr Injury Law,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Entrepreneurship,Associate Consultant,Turning Point Consulting,Opus College of Business,Bachelor's degree,Minnesota,2023
Communication Studies,Community Outreach Coordinator,Twin Cities German Immersion School,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Marketing Management,Delivery Driver,Uber,Opus College of Business,Bachelor's degree,Minnesota,2023
Electrical Engineering,Engineer,Ulteig Engineers,School of Engineering,Bachelor's degree,Minnesota,2023
Psychology,Behavior Technician ,Kaleidoscope ,College of Arts & Sciences,Bachelor's degree,Illinois,2024
Economics - Public Policy,National Bank Examiner,United States Department of the Treasury,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Computer Science,Computer Programmer Analyst,United States Postal Service,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Communication Studies,City Carrier Associate,United States Postal Service,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Financial Management,Financial Analyst,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023
MS Operations & Supply Chain Mgmt,Sourcing and Procurement Manager,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023
Biology,Sales Development Representative,UnitedHealth Group,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Actuarial Science,Actuarial Analyst,UnitedHealth Group,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
MS Operations & Supply Chain Mgmt,Sourcing Analyst,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023
Marketing Management,Broker Analyst,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023
Marketing Management,Product Analyst,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023
International Business,Development Agent,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023
Accounting,Accountant,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023
Economics,Data Analyst,UnitedHealth Group,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Bus Admin - Communication,Sales Agent,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023
Marketing Management,Advisory Analyst,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023
Economics - Business,Mergers and Acquisitions Analyst,UnitedHealth Group,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
MS Operations & Supply Chain Mgmt,Sourcing and Procurement Manager,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023
Financial Management,Registered Nurse Assessment Coordinator,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023
History,,,College of Arts & Sciences,Bachelor's degree,Illinois,2024
Marketing Management,Facilities Coordinator,University of Minnesota Athletics,Opus College of Business,Bachelor's degree,Minnesota,2023
Catholic Studies,Resident Advisor,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Digital Media Arts,Program Manager,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Wisconsin,2023
Psychology,Mailroom Assistant,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Music,Laboratory Manager,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Financial Management,Statistical Assistant,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023
Marketing Management,Website/Social Media Coordinator,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023
Justice & Peace Studies,Student Director,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Financial Management,Student Manager,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023
Geology,,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
English - Professional Writing,Assistant to the President,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Exercise Science,Sports Medicine Assistant,University of St. Thomas,College of Health,Bachelor's degree,Minnesota,2023
Mechanical Engineering,Laboratory Assistant,University of St. Thomas,School of Engineering,Bachelor's degree,Minnesota,2023
Social Work,Psychology Assistant,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
MS Operations & Supply Chain Mgmt,Volunteer Coordinator,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023
Political Science,Experience Coordinator,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Statistics,Service Excellence Manager,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Biochemistry,Laboratory Assistant,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Financial Management,Mailroom Specialist,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023
Human Resources Management,Resident Assistant,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023
Music - Business,Office Assistant,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Digital Media Arts,Print Graphic Designer,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Mechanical Engineering,Research Assistant,University of St. Thomas,School of Engineering,Bachelor's degree,Minnesota,2023
K-12 Music Education,Music Educator,University of St. Thomas,School of Education,Bachelor's degree,Minnesota,2023
Psychology,Statistics Teaching Assistant,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Computer Engineering,Laboratory Manager,University of St. Thomas,School of Engineering,Bachelor's degree,Minnesota,2023
Intl Studies - Pol Sci,Study Abroad Peer Advisor,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Mathematics (Applied Track),Math Tutor,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Mechanical Engineering,System Operator,University of St. Thomas,School of Engineering,Bachelor's degree,Minnesota,2023
Marketing Management,,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023
Computer Science,,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Public Health,Peer Health Educator,University of St. Thomas,College of Health,Bachelor's degree,Minnesota,2023
Mechanical Engineering,Resident Advisor,University of St. Thomas,School of Engineering,Bachelor's degree,Minnesota,2023
Marketing Management,Student-Athlete Mentor,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023
Mathematics (Applied Track),Study Group Leader,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,South Dakota,2023
Law & Compliance,Study Abroad Peer Advisor,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023
Communication Studies,Resident Advisor,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Mechanical Engineering,,University of St. Thomas,School of Engineering,Bachelor's degree,Indiana,2023
Marketing Management,Product Specialist,Urban Outfitters,Opus College of Business,Bachelor's degree,Minnesota,2023
Music - Business,Teacher,Urban Ventures,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Criminal Justice,Paralegal,US Attorney's Office,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Communication Studies,Safety Coordinator,US Bank,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Data Analytics,Wealth Management Analyst,US Bank,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
International Business,,US Bank,Opus College of Business,Bachelor's degree,Minnesota,2023
Financial Management,,US Bank,Opus College of Business,Bachelor's degree,Minnesota,2023
Bus Admin - Communication,Human Resources Coordinator,US Bank,Opus College of Business,Bachelor's degree,Minnesota,2023
Statistics,,US Bank,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Financial Management,Tax Accountant,US Bank,Opus College of Business,Bachelor's degree,Minnesota,2023
Marketing Management,Project Analyst,US Bank,Opus College of Business,Bachelor's degree,Minnesota,2023
Marketing Management,Business Banking Assistant,US Bank,Opus College of Business,Bachelor's degree,Minnesota,2023
Financial Management,Appraisal Analyst,Valbridge Property Advisors,Opus College of Business,Bachelor's degree,Minnesota,2023
Biology,Medical Assistant,Valley Medical,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Neuroscience,Tax Associate,Valtinson Financial Group,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Philosophy,Sales Representative,Vector Marketing,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Neuroscience,Personal Care Assistant,Villages of Lonsdale,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Financial Management,Financial Planning Analyst,Voyage Wealth Architects,Opus College of Business,Bachelor's degree,Minnesota,2023
Political Science,,,College of Arts & Sciences,Bachelor's degree,Illinois,2024
Middle/Secondary Education,Teacher,Waconia Public Schools,School of Education,Bachelor's degree,Minnesota,2023
Biology,Resident Aide,Walker Methodist,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Law & Compliance,Compliance Analyst,"Walleye Capital Partners, LP",Opus College of Business,Bachelor's degree,Minnesota,2023
Public Health,Clinical Research Associate,Wavemed,College of Health,Bachelor's degree,Minnesota,2023
Digital Media Arts,Digital Content Producer,WCCO-TV,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Data Analytics,Data Engineer,Wells Fargo,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Financial Management,Analyst,Wells Fargo,Opus College of Business,Bachelor's degree,Minnesota,2023
Financial Management,Financial Analyst,Wells Fargo,Opus College of Business,Bachelor's degree,Minnesota,2023
Philosophy,,,College of Arts & Sciences,Bachelor's degree,Illinois,2024
Psychology,,,College of Arts & Sciences,Bachelor's degree,Illinois,2024
Financial Management,Owner,Wentzel Wealth Management,Opus College of Business,Bachelor's degree,Minnesota,2023
Economics - Mathematical,Support Specialist,Western National Insurance,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Civil Engineering,Staff Design Engineer,Westwood Professional Services,School of Engineering,Bachelor's degree,Minnesota,2023
Civil Engineering,Transmission Engineer,Westwood Professional Services,School of Engineering,Bachelor's degree,Minnesota,2023
Psychology,Lead Server,White Bear Yacht Club,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
MS Operations & Supply Chain Mgmt,Career Development Manager,White Cap International,Opus College of Business,Bachelor's degree,Minnesota,2023
Journalism,Communications Coordinator,Wilderness Inquiry,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Mechanical Engineering,Mechanical Engineer,Williams,School of Engineering,Bachelor's degree,Michigan,2023
Data Analytics,Financial Advisor,Wings Credit Union,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Accounting,Accountant,Wipfli,Opus College of Business,Bachelor's degree,Minnesota,2023
Journalism,Reporter,WMDT-TV,College of Arts & Sciences,Bachelor's degree,Maryland,2023
Biology,Neurophysiologist,Wr Medical Electronics,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Civil Engineering,Engineer,Wsb Engineering Group,School of Engineering,Bachelor's degree,Minnesota,2023
Civil Engineering,Water Resources Engineer,Wsb Engineering Group,School of Engineering,Bachelor's degree,Minnesota,2023
MS Operations & Supply Chain Mgmt,Buyer,Wunderlich-Malec Engineering,Opus College of Business,Bachelor's degree,Minnesota,2023
Electrical Engineering,Electric Distribution Engineer,Xcel Energy,School of Engineering,Bachelor's degree,Minnesota,2023
Mechanical Engineering,Launch Manager,Xcel Energy,School of Engineering,Bachelor's degree,Minnesota,2023
Entrepreneurship,Social Media Manager,Yellow Brick Road,Opus College of Business,Bachelor's degree,Minnesota,2023
Law & Compliance,Lifeguard,YMCA,Opus College of Business,Bachelor's degree,Minnesota,2023
Computer Engineering,,YNTO Productions,School of Engineering,Bachelor's degree,Colorado,2023
Liberal Arts,,,Dougherty Family College,Bachelor's degree,Minnesota,2023
Liberal Arts,,,Dougherty Family College,Bachelor's degree,Minnesota,2023
Liberal Arts,,,Dougherty Family College,Bachelor's degree,Minnesota,2023
Liberal Arts,,,Dougherty Family College,Bachelor's degree,Minnesota,2023
Liberal Arts,,,Dougherty Family College,Bachelor's degree,Minnesota,2023
Liberal Arts,,,Dougherty Family College,Bachelor's degree,Minnesota,2023
Liberal Arts,,,Dougherty Family College,Bachelor's degree,Minnesota,2023
Liberal Arts,,,Dougherty Family College,Bachelor's degree,Minnesota,2023
Liberal Arts,,,Dougherty Family College,Bachelor's degree,,2023
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Philosophy,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Justice & Peace Studies,,,College of Arts & Sciences,Bachelor's degree,Colorado,2023
Philosophy,,,College of Arts & Sciences,Bachelor's degree,South Dakota,2023
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Public Health,,,College of Health,Bachelor's degree,Minnesota,2023
Exercise Science,,,College of Health,Bachelor's degree,Minnesota,2023
Chemistry,,,College of Arts & Sciences,Bachelor's degree,,2023
Neuroscience,,,College of Arts & Sciences,Bachelor's degree,North Dakota,2023
Exercise Science,,,College of Health,Bachelor's degree,Minnesota,2023
Sociology,,,College of Arts & Sciences,Bachelor's degree,Montana,2023
Political Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Biology,,,College of Arts & Sciences,Bachelor's degree,,2023
Biology,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2023
Biochemistry,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Neuroscience,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2023
Exercise Science,,,College of Health,Bachelor's degree,Minnesota,2023
Exercise Science,,,College of Health,Bachelor's degree,Minnesota,2023
Catholic Studies,,,College of Arts & Sciences,Bachelor's degree,Maryland,2023
Biology,,,College of Arts & Sciences,Bachelor's degree,Missouri,2023
Mathematics (Pure Track),,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Chemistry,,,College of Arts & Sciences,Bachelor's degree,,2023
Biology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Data Analytics,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Exercise Science,,,College of Health,Bachelor's degree,Minnesota,2023
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Strategic Comm: Ad and PR,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Exercise Science,,,College of Health,Bachelor's degree,Minnesota,2023
Exercise Science,,,College of Health,Bachelor's degree,Minnesota,2023
Biology,,,College of Arts & Sciences,Bachelor's degree,,2023
Environmental Studies,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Law & Compliance,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Mechanical Engineering,,,School of Engineering,Bachelor's degree,,2023
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Wisconsin,2023
Financial Management,,,Opus College of Business,Bachelor's degree,Wisconsin,2023
Mathematics (Applied Track),,,College of Arts & Sciences,Bachelor's degree,,2023
History,,,College of Arts & Sciences,Bachelor's degree,,2023
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Neuroscience,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Philosophy,,,College of Arts & Sciences,Bachelor's degree,Michigan,2023
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,,2023
Psychology,,,College of Arts & Sciences,Bachelor's degree,Iowa,2023
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Marketing Management,Digital Marketing Specialist,,Opus College of Business,Bachelor's degree,Minnesota,2023
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Accounting,,,Opus College of Business,Bachelor's degree,,2023
Law & Compliance,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Biology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Communication Studies,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Human Resources Management,Assistant Director,,Opus College of Business,Bachelor's degree,Minnesota,2023
Human Resources Management,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Biochemistry,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Computer Science,,,College of Arts & Sciences,Bachelor's degree,,2023
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Exercise Science,,,College of Health,Bachelor's degree,Minnesota,2023
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2023
MS Operations & Supply Chain Mgmt,,,Opus College of Business,Bachelor's degree,California,2023
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Justice & Peace Studies,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Financial Management,Director of Operations,,Opus College of Business,Bachelor's degree,Minnesota,2023
Psychology,Au Pair,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Marketing Management,Salesperson,,Opus College of Business,Bachelor's degree,Indiana,2023
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2023
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Marketing Management,Graphic Design and Media Intern,Schaumburg Boomers,Opus College of Business,Bachelor's degree,Illinois ,2024
Economics - Business,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2023
Individualized,,,College of Arts & Sciences,Bachelor's degree,Florida,2023
Mathematics (Applied Track),,,College of Arts & Sciences,Bachelor's degree,Delaware,2023
Mechanical Engineering,,,School of Engineering,Bachelor's degree,,2023
Environmental Studies,,,College of Arts & Sciences,Bachelor's degree,,2023
Computer Science,,,College of Arts & Sciences,Bachelor's degree,,2023
Social Work,,,College of Arts & Sciences,Bachelor's degree,,2023
Biology,,,College of Arts & Sciences,Bachelor's degree,,2023
Neuroscience,,,College of Arts & Sciences,Bachelor's degree,,2023
Mechanical Engineering,,,School of Engineering,Bachelor's degree,,2023
Chemistry,,,College of Arts & Sciences,Bachelor's degree,,2023
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,,2023
Entrepreneurship,,,Opus College of Business,Bachelor's degree,,2023
Entrepreneurship,,,Opus College of Business,Bachelor's degree,,2023
Entrepreneurship,,,Opus College of Business,Bachelor's degree,,2023
Marketing Management,,,Opus College of Business,Bachelor's degree,,2023
Marketing Management,,,Opus College of Business,Bachelor's degree,,2023
Philosophy,,,College of Arts & Sciences,Bachelor's degree,,2023
Digital Media Arts,,,College of Arts & Sciences,Bachelor's degree,,2023
Computer Science,,,College of Arts & Sciences,Bachelor's degree,,2023
Elementary Education (K-6),,,School of Education,Bachelor's degree,,2023
Marketing Management,,,Opus College of Business,Bachelor's degree,,2023
Strategic Comm: Ad and PR,,,College of Arts & Sciences,Bachelor's degree,,2023
Social Work,,,College of Health,Bachelor's degree,,2023
Individualized,,,College of Arts & Sciences,Bachelor's degree,,2023
Mechanical Engineering,,,School of Engineering,Bachelor's degree,,2023
Entrepreneurship,,,Opus College of Business,Bachelor's degree,,2023
Neuroscience,,,College of Arts & Sciences,Bachelor's degree,,2023
History,,,College of Arts & Sciences,Bachelor's degree,,2023
Financial Management,,,Opus College of Business,Bachelor's degree,,2023
Financial Management,,,Opus College of Business,Bachelor's degree,,2023
Computer Science,,,College of Arts & Sciences,Bachelor's degree,,2023
Catholic Studies,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Computer Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2023
Chemistry,Research chemist,3M,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Mechanical Engineering,Design Systems Engineer,3M,School of Engineering,Bachelor's degree,Minnesota,2024
Digital Media Arts,,3Play Media,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Neuroscience,,Abbott Northwestern Hospital,College of Arts & Sciences,Bachelor's degree,,2024
Marketing Management,Social & Creative Strategist,Adobe,Opus College of Business,Bachelor's degree,Minnesota,2024
Mechanical Engineering,Mechanical Engineer,AKF Group,School of Engineering,Bachelor's degree,Minnesota,2024
Marketing Management,Inside Sales and Business Intelligence Specialist,ALCIVIA,Opus College of Business,Bachelor's degree,Wisconsin,2024
Civil Engineering,Graduate Transportation Engineer ,Alliant Engineering,School of Engineering,Bachelor's degree,Minnesota,2024
Financial Management,Business Analyst,Altafid,Opus College of Business,Bachelor's degree,,2024
Leadership & Management,Area Manager,Amazon,Opus College of Business,Bachelor's degree,Minnesota,2024
International Business,Flight Attendant ,American Airlines,Opus College of Business,Bachelor's degree,Minnesota,2024
MS Operations & Supply Chain Mgmt,Leadership Development Program,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2024
