Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year
Mechanical Engineering,Industrial Engineer,Global Power Components,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Public Health,Marketing Coordinator,Global Tax Network,Opus College of Business,Bachelor's Degree,Minnesota,2021
Economics - Business,Logistics Representative I,GlobalTranz,College of Arts & Sciences,Bachelor's Degree,Arizona,2021
Operations Management,Logistics Representative I,GlobalTranz,Opus College of Business,Bachelor's Degree,Arizona,2021
Entrepreneurship,Marketing Specialist,Gogotech,Opus College of Business,Bachelor's Degree,New York,2021
Leadership & Management,Event Manager,Golden Valley Country Club,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Accounting,Professional golfer,Golf,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Marketing Management,Marketing Analyst,Gopher Sport,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Mechanical Design Engineer,Graco,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Mechanical Engineer,Graco,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Operations Management,Sourcing specialist,Graco Inc.,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Mechanical Engineer 1,"Graco, Inc.",School of Engineering,Bachelor's Degree,Minnesota,2021
Financial Management,Logistics Specialist,Granite Logistics | Agent for Trinity Logistics,School of Education,Bachelor's Degree,Minnesota,2021
