Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year,Major Cluster,Major Subcluster,Industry Group,Job Function
Leadership & Management,Supply Chain Manager,Target,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Retail & Consumer Products,Operations & Supply Chain
Financial Management,Financial Analyst,Target,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Retail & Consumer Products,Finance & Accounting
Marketing Management,Business Partner,Target,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Sales & Business Development
Economics,Inventory Analyst,Target,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Economics,Retail & Consumer Products,Operations & Supply Chain
Human Resources Management,Style Consultant,Target,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Retail & Consumer Products,Consulting & Advisory
Data Analytics,Software Engineer,Target,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Retail & Consumer Products,Software & IT
Financial Management,Financial Analyst,Target,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Retail & Consumer Products,Finance & Accounting
International Business,Executive Team Leader,Target,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Retail & Consumer Products,Sales & Business Development
Gen Business Mgmt,Account Executive,Taylor Corporation,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Manufacturing & Industrial,Sales & Business Development
English - Creative Writing,Paralegal,Taylor Corporation,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Creative Writing,Manufacturing & Industrial,Legal
Entrepreneurship,Business Development Associate,Techstars,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Professional Services & Consulting,Sales & Business Development
Mechanical Engineering,Mechanical Design Engineer,Tennant,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Engineering
Environmental Science,Environmental Scientist,Tetra Tech,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Environmental Sciences,"Construction, Engineering & Real Estate",Research & Science
Marketing Management,Digital Marketer,TG-3 Media,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Marketing & Communications
Psychology,Behavioral Therapist,The Bridge Autism Clinic,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Healthcare & Medical,Healthcare & Clinical
Music - Business,Sound Designer,The Mindset Advantage Podcast,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Retail & Consumer Products,Design & Creative
Biology,Resident Assistant,The Pillars of Highland Park,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Government & Public Service,Government & Public Service
Mechanical Engineering,Application Engineer,Third Wave Systems,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Technology & Software,Software & IT
Mechanical Engineering,Application Engineer,Third Wave Systems,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Technology & Software,Software & IT
Economics - Business,Market Researcher,Thomas & Reed,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Economics,Professional Services & Consulting,Consulting & Advisory
Financial Management,Mutual Fund Accountant,Thrivent,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Actuarial Science,Actuarial Analyst,Thrivent,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Marketing Management,Wait Staff,Tiffany Sports Lounge,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Sales & Business Development
Exercise Science,,,College of Health,Bachelor's degree,Illinois,2023,NATURAL & HEALTH SCIENCES,Health & Wellness,Other,Other
History,Retail Sales Associate,TJX,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Retail & Consumer Products,Sales & Business Development
Journalism,Assignment Editor,Tommiemedia,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Journalism & Media,Retail & Consumer Products,Marketing & Communications
Entrepreneurship,Client Development Manager,Top Gun Technology,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Technology & Software,Management & Leadership
Financial Management,Analyst,Toro,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Operations & Supply Chain
Bus Admin - Communication,Public Relations Specialist,Toro,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Manufacturing & Industrial,Marketing & Communications
Real Estate Studies,Merchandiser,Total Wine & More,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Retail & Consumer Products,Sales & Business Development
Entrepreneurship,Founder,Touchlink,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Technology & Software,Software & IT
Marketing Management,Club Server,Town & Country Club,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Sales & Business Development
Political Science,Server,Town & Country Club,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Retail & Consumer Products,Sales & Business Development
Entrepreneurship,Venture Capital Analyst,Traction Capital,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Financial Services & Insurance,Finance & Accounting
Economics - Mathematical,Associate Data Analyst,CDW,College of Arts & Sciences,Bachelor's degree,Illinois,2024,SOCIAL SCIENCES & HUMANITIES,Economics,Technology & Software,Software & IT
Data Analytics,Data Scientist,Trane Technologies,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Manufacturing & Industrial,Research & Science
Computer Engineering,IT Project Manager,Transition Homes,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Government & Public Service,Management & Leadership
Financial Management,Brokerage Associate,Transwestern,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,"Construction, Engineering & Real Estate",Engineering
Gen Business Mgmt,Account Operations Specialist,Travelers,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Financial Services & Insurance,Operations & Supply Chain
Actuarial Science,Actuarial Consultant,Travelers,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Law & Compliance,Compliance Consultant,Travelers,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Financial Services & Insurance,Consulting & Advisory
Gen Business Mgmt,Consultative Sales Associate,Triple Diamond Sports,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Retail & Consumer Products,Sales & Business Development
Biology,Legal Administrative Assistant,Trojack & Schniederjan Law Office,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Professional Services & Consulting,Legal
Criminal Justice,Paralegal,Tsr Injury Law,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Professional Services & Consulting,Legal
Entrepreneurship,Associate Consultant,Turning Point Consulting,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Professional Services & Consulting,Consulting & Advisory
Communication Studies,Community Outreach Coordinator,Twin Cities German Immersion School,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Communication Studies,Education & Academia,Nonprofit & Social Services
Marketing Management,Delivery Driver,Uber,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Technology & Software,Software & IT
Electrical Engineering,Engineer,Ulteig Engineers,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Energy & Utilities,Engineering
Psychology,Behavior Technician ,Kaleidoscope ,College of Arts & Sciences,Bachelor's degree,Illinois,2024,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Engineering
Economics - Public Policy,National Bank Examiner,United States Department of the Treasury,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Economics,Government & Public Service,Government & Public Service
Computer Science,Computer Programmer Analyst,United States Postal Service,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Computer Science & IT,Professional Services & Consulting,Software & IT
Communication Studies,City Carrier Associate,United States Postal Service,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Communication Studies,Professional Services & Consulting,Consulting & Advisory
Financial Management,Financial Analyst,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Healthcare & Medical,Finance & Accounting
MS Operations & Supply Chain Mgmt,Sourcing and Procurement Manager,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Healthcare & Medical,Operations & Supply Chain
Biology,Sales Development Representative,UnitedHealth Group,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Sales & Business Development
Actuarial Science,Actuarial Analyst,UnitedHealth Group,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Healthcare & Medical,Finance & Accounting
MS Operations & Supply Chain Mgmt,Sourcing Analyst,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Healthcare & Medical,Healthcare & Clinical
Marketing Management,Broker Analyst,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Healthcare & Medical,Sales & Business Development
Marketing Management,Product Analyst,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Healthcare & Medical,Healthcare & Clinical
International Business,Development Agent,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Healthcare & Medical,Sales & Business Development
Accounting,Accountant,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Healthcare & Medical,Finance & Accounting
Economics,Data Analyst,UnitedHealth Group,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Economics,Healthcare & Medical,Healthcare & Clinical
Bus Admin - Communication,Sales Agent,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Healthcare & Medical,Sales & Business Development
Marketing Management,Advisory Analyst,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Healthcare & Medical,Consulting & Advisory
Economics - Business,Mergers and Acquisitions Analyst,UnitedHealth Group,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Economics,Healthcare & Medical,Healthcare & Clinical
MS Operations & Supply Chain Mgmt,Sourcing and Procurement Manager,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Healthcare & Medical,Operations & Supply Chain
Financial Management,Registered Nurse Assessment Coordinator,UnitedHealth Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Healthcare & Medical,Healthcare & Clinical
History,,,College of Arts & Sciences,Bachelor's degree,Illinois,2024,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
Marketing Management,Facilities Coordinator,University of Minnesota Athletics,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Education & Academia,Operations & Supply Chain
Catholic Studies,Resident Advisor,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Education & Academia,Consulting & Advisory
Digital Media Arts,Program Manager,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Wisconsin,2023,COMMUNICATION & MEDIA,Journalism & Media,Education & Academia,Management & Leadership
Psychology,Mailroom Assistant,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Education & Academia,Education & Teaching
Music,Laboratory Manager,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Education & Academia,Research & Science
Financial Management,Statistical Assistant,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Education & Academia,Data & Analytics
Marketing Management,Website/Social Media Coordinator,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Education & Academia,Marketing & Communications
Justice & Peace Studies,Student Director,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Education & Academia,Management & Leadership
Financial Management,Student Manager,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Education & Academia,Management & Leadership
Geology,,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Physical Sciences,Education & Academia,Other
English - Professional Writing,Assistant to the President,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,"ARTS, LANGUAGES & THEOLOGY",English & Writing,Education & Academia,Management & Leadership
