Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year,Major Cluster,Major Subcluster,Industry Group,Job Function
Intl Studies - Economics,Researcher,Corporate Technologies,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,International Studies,Technology & Software,Software & IT
Liberal Arts,Supervisor,Cossettas,Dougherty Family College,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Humanities & Liberal Arts,Retail & Consumer Products,Management & Leadership
Digital Media Arts,Cashier,Costco,College of Arts & Sciences,Bachelor's degree,North Dakota,2023,COMMUNICATION & MEDIA,Journalism & Media,Retail & Consumer Products,Sales & Business Development
Financial Management,,Cottingham & Butler,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Other
Marketing Management,Insurance Broker,Cottingham & Butler,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Financial Services & Insurance,Finance & Accounting
MS Operations & Supply Chain Mgmt,Business Development Representative,Coyote Logistics,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Professional Services & Consulting,Sales & Business Development
MS Operations & Supply Chain Mgmt,Production Planner,Crenlo,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Manufacturing & Industrial,Operations & Supply Chain
Data Analytics,Business Associate,Crew,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Retail & Consumer Products,Sales & Business Development
Entrepreneurship,,Crowley Capital Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Financial Services & Insurance,Other
Entrepreneurship,Vice President of Acquisitions,Crowley Capital Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Financial Services & Insurance,Management & Leadership
Human Resources Management,Recruiter,Csm Corporation,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,"Construction, Engineering & Real Estate",Human Resources
Actuarial Science,Data Analyst,Currie & Brown,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Consulting & Advisory
Statistics,Data Analyst,Currie & Brown,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Physical Sciences,Professional Services & Consulting,Consulting & Advisory
Financial Management,Brokerage Coordinator,Cushman & Wakefield,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,"Construction, Engineering & Real Estate",Engineering
Mechanical Engineering,Application Engineer,Daikin,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Software & IT
Marketing Management,Marketing Administrator,Dairy Queen,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Marketing & Communications
Financial Management,Accounting Clerk,Data Sales Co.,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Technology & Software,Finance & Accounting
Economics - Business,Equity Research Analyst,David S. Kidwell Funds Enterprise,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Economics,Financial Services & Insurance,Finance & Accounting
Catholic Studies,Visitor Services Representative,Field Museum of Natural History,College of Arts & Sciences,Bachelor's degree,Illinois,2023,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Government & Public Service,Government & Public Service
Accounting,Audit and Assurance Assistant,Deloitte,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Finance & Accounting
Accounting,Audit Assistant,Deloitte,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Finance & Accounting
International Business,Sales Development Representative,Deskera,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Technology & Software,Sales & Business Development
Computer Science,Demolition Laborer,DFD Services,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Computer Science & IT,Healthcare & Medical,Healthcare & Clinical
Exercise Science,Exercise Physiologist,Discover Strength,College of Health,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Health & Wellness,Healthcare & Medical,Healthcare & Clinical
Chemistry,Quality Control Chemist,Diversified Solutions,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Physical Sciences,Professional Services & Consulting,Operations & Supply Chain
Accounting,Corporate Accountant,Dominium,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,"Construction, Engineering & Real Estate",Finance & Accounting
Financial Management,Land Acquisition Analyst,Dominium,Opus College of Business,Bachelor's degree,Arizona,2023,BUSINESS & MANAGEMENT,Finance & Accounting,"Construction, Engineering & Real Estate",Engineering
Financial Management,Pricing Administrator,Donaldson,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Administrative & Support
Financial Management,Financial Analyst,Dramm Corporation,Opus College of Business,Bachelor's degree,Wisconsin,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Finance & Accounting
Financial Management,Evaluation Assistant,DSB Rock Island,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Operations & Supply Chain
Environmental Studies,Compliance Manager,Earthworks Environmental,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Environmental Sciences,Professional Services & Consulting,Finance & Accounting
Financial Management,Financial Analyst,Eaton Corporation,Opus College of Business,Bachelor's degree,Wisconsin,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Finance & Accounting
Financial Management,Financial Analyst,Ecolab,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Finance & Accounting
Financial Management,Finance Team,Ecolab,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Finance & Accounting
Financial Management,Financial Services Associate,Ecolab,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Finance & Accounting
Mechanical Engineering,Mechanical Engineer,Ecolab,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Engineering
Leadership & Management,Associate,Full Court Capital,Opus College of Business,Bachelor's degree,Illinois,2023,BUSINESS & MANAGEMENT,General Business,Financial Services & Insurance,Finance & Accounting
Biology,Microbiologist,Element Materials Technology,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Manufacturing & Industrial,Research & Science
Neuroscience,Medical Scribe,Emergency Care Consultants,College of Arts & Sciences,Bachelor's degree,Georgia,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
Biochemistry,Medical Scribe,"Emergency Care Consultants, Scribe Program",College of Arts & Sciences,Bachelor's degree,Wisconsin,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
MS Operations & Supply Chain Mgmt,Production Planner,Emerson Electric,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Manufacturing & Industrial,Operations & Supply Chain
MS Operations & Supply Chain Mgmt,Associate Commodity Manager,Emerson Electric,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Manufacturing & Industrial,Management & Leadership
Electrical Engineering,Project Engineer,Emerson Electric,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Engineering
Marketing Management,Production Manager,Emerson Measurement Solutions,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Manufacturing & Industrial,Operations & Supply Chain
Biology,Front Office Coordinator,Enclave Team at Real Brokerage,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,"Construction, Engineering & Real Estate",Engineering
Mathematics (Statistics Track),Financial Accounting Analyst,Endeavor Air,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Physical Sciences,Professional Services & Consulting,Finance & Accounting
Marketing Management,Account Specialist,Enterprise Rent-A-Car,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Professional Services & Consulting,Sales & Business Development
Entrepreneurship,Vice President of Operations,Epiblock,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Healthcare & Medical,Operations & Supply Chain
Mechanical Engineering,Technical Services Engineer,Epic,School of Engineering,Bachelor's degree,Wisconsin,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Technology & Software,Engineering
Leadership & Management,Quality Manager,Epic,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Technology & Software,Operations & Supply Chain
Entrepreneurship,Project Manager,Epic,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Technology & Software,Management & Leadership
Accounting,Staff Accountant,Ernst & Young,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Finance & Accounting
Accounting,Associate,Ernst & Young,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Consulting & Advisory
Accounting,FSO Assurance Staff,Ernst & Young,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Consulting & Advisory
Accounting,Staff Auditor,Ernst & Young,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Finance & Accounting
Gen Business Mgmt,Procurement Representative,Evans Transportation Services,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Professional Services & Consulting,Operations & Supply Chain
Gen Business Mgmt,Technical Services Representative,Evolution Medical,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Healthcare & Medical,Healthcare & Clinical
Catholic Studies,Data Associate,ExperienceIT,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Technology & Software,Software & IT
Marketing Management,Data Analyst,ExperienceIT,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Technology & Software,Software & IT
Political Science,Patient Care Coordinator,Eye Clinic,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Healthcare & Medical,Healthcare & Clinical
Bus Admin - Communication,Corporate Strategist,Face Foundrié,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Consulting & Advisory
Family Studies,Family Life Specialist,Fairview Health Services,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Healthcare & Medical,Healthcare & Clinical
Biology,Laboratory Technician,Fairview Health Services,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Engineering
Exercise Science,Laboratory Technician,Fairview Health Services,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Health & Wellness,Healthcare & Medical,Engineering
Biology,Nursing Station Technician,Fairview Health Services,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
Exercise Science,Rehabilitation Technician,Fairview Health Services,College of Health,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Health & Wellness,Healthcare & Medical,Healthcare & Clinical
Neuroscience,Nursing,Fairview Hospital,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
Theology,Director of Learning,Faith in Action,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Government & Public Service,Management & Leadership
Biology,Nanny,Family Nanny,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Professional Services & Consulting,Consulting & Advisory
Marketing Management,Associate Agent,Farmers Insurance,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Financial Services & Insurance,Sales & Business Development
